disease,text
Appendicitis,"['""Glucose""', '""Protein""', '""Urobilinogen""', '""Bacteria""', '""RBC""', '""Urine Appearance""', '""Urine Color""', '""Bilirubin""', '""Epithelial Cells""', '""pH""', '""Leukocytes""', '""Blood""', '""Ketone""', '""Specific Gravity""', '""WBC""', '""Nitrite""', '""Yeast""', '""RDW""', '""Platelet Count""', '""MCV""', '""MCH""', '""Hematocrit""', '""RDW-SD""', '""Hemoglobin""', '""Red Blood Cells""', '""White Blood Cells""', '""MCHC""', '""Chloride""', '""Calcium, Total""', '""Anion Gap""', '""Sodium""', '""Creatinine""', '""Magnesium""', '""Phosphate""', '""Bicarbonate""', '""H""', '""Urea Nitrogen""', '""I""', '""Potassium""', '""L""', '""eAG""', '""% Hemoglobin A1c""', '""Green Top Hold (plasma)""', '""Light Green Top Hold""', '""Absolute Basophil Count""', '""Absolute Neutrophil Count""', '""Absolute Monocyte Count""', '""Monocytes""', '""Eosinophils""', '""Absolute Eosinophil Count""', '""Absolute Lymphocyte Count""', '""Lymphocytes""', '""Neutrophils""', '""Basophils""', '""Immature Granulocytes""', '""Alkaline Phosphatase""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Estimated GFR (MDRD equation)""', '""Albumin""', '""Alanine Aminotransferase (ALT)""', '""Lipase""', '""INR(PT)""', '""PT""', '""PTT""']"
Arrhythmias,"['""pH""', '""Specimen Type""', '""Potassium, Whole Blood""', '""Free Calcium""', '""Chloride""', '""Sodium""', '""Potassium""', '""Glucose""', '""Magnesium""', '""Platelet Count""', '""MCV""', '""MCHC""', '""White Blood Cells""', '""MCH""', '""Hematocrit""', '""Red Blood Cells""', '""Hemoglobin""', '""RDW""', '""Base Excess""', '""pO2""', '""pCO2""', '""Calculated Total CO2""', '""Lactate""', '""Hematocrit, Calculated""', '""Urea Nitrogen""', '""Creatinine""', '""PT""', '""INR(PT)""', '""PTT""', '""Bicarbonate""', '""Anion Gap""', '""Platelet Smear""', '""Fibrinogen, Functional""', '""Ventilator""', '""Intubated""', '""Sodium, Whole Blood""', '""Chloride, Whole Blood""', '""Estimated GFR (MDRD equation)""', '""Calcium, Total""', '""Phosphate""', '""Oxygen Saturation""', '""Temperature""', '""Green Top Hold (plasma)""', '""Creatine Kinase, MB Isoenzyme""', '""Bilirubin, Total""', '""Lactate Dehydrogenase (LD)""', '""Albumin""', '""Alkaline Phosphatase""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Troponin T""', '""Nitrite""', '""Urine Mucous""', '""WBC""', '""Leukocytes""', '""Protein""', '""Urobilinogen""', '""Urine Color""', '""Bilirubin""', '""Urine Appearance""', '""Bacteria""', '""Ketone""', '""RBC""', '""Specific Gravity""', '""Yeast""', '""Epithelial Cells""', '""Blood""', '""Hyaline Casts""', '""Red Top Hold""', '""Acetaminophen""', '""Ethanol""', '""Barbiturate Screen""', '""Salicylate""', '""Creatine Kinase (CK)""', '""Benzodiazepine Screen""', '""Tricyclic Antidepressant Screen""', '""Cholesterol, Total""', '""Thyroid Stimulating Hormone""', '""Triglycerides""', '""Cholesterol, HDL""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, LDL, Calculated""', '""% Hemoglobin A1c""', '""eAG""', '""Length of Urine Collection""', '""Opiate Screen, Urine""', '""Methadone, Urine""', '""Barbiturate Screen, Urine""', '""Amphetamine Screen, Urine""', '""Benzodiazepine Screen, Urine""', '""Cocaine, Urine""', '""Basophils""', '""Eosinophils""', '""Lymphocytes""', '""Neutrophils""', '""Monocytes""', '""Amylase""', '""Lipase""', '""Uhold""', '""PEEP""', '""Hepatitis B Surface Antibody""', '""HIV Screen""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Surface Antigen""', '""Osmolality, Measured""', '""RDW-SD""', '""NTproBNP""', '""Transitional Epithelial Cells""', '""Oxygen""', '""Tidal Volume""', '""Ventilation Rate""', '""Required O2""', '""Alveolar-arterial Gradient""', '""Vancomycin""', '""Uric Acid""', '""Inpatient Hematology/Oncology Smear""', '""Blue Top Hold""', '""Granular Casts""', '""Macrocytes""', '""Polychromasia""', '""Myelocytes""', '""Bands""', '""Atypical Lymphocytes""', '""Anisocytosis""', '""Poikilocytosis""', '""Microcytes""', '""Hypochromia""', '""Metamyelocytes""', '""Haptoglobin""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Assist/Control""', '""EDTA Hold""', '""Absolute Basophil Count""', '""Absolute Eosinophil Count""', '""Absolute Neutrophil Count""', '""Absolute Lymphocyte Count""', '""Absolute Monocyte Count""', '""Ovalocytes""', '""O2 Flow""', '""Prolactin""', '""Light Green Top Hold""', '""Folate""', '""Vitamin B12""', '""Iron""', '""Ferritin""', '""Voided Specimen""', '""Urine tube, held""', '""Osmolality, Urine""', '""Sodium, Urine""', '""Urea Nitrogen, Urine""', '""Potassium, Urine""', '""Creatinine, Urine""', '""Chloride, Urine""', '""Cortisol""', '""Digoxin""', '""Thyroxine (T4)""', '""Parathyroid Hormone""', '""25-OH Vitamin D""', '""WBC Clumps""', '""Schistocytes""', '""Teardrop Cells""', '""Iron Binding Capacity, Total""', '""Transferrin""', '""Bite Cells""', '""Carcinoembyronic Antigen (CEA)""', '""Reticulocyte Count, Automated""', '""Immunoglobulin G""', '""Immunoglobulin A""', '""Immunofixation""', '""Protein, Total""', '""Immunoglobulin M""', '""Protein Electrophoresis""', '""Echinocytes""', '""Spherocytes""', '""Waxy Casts""', '""Amorphous Crystals""', '""Tobramycin""']"
Arrhythmias,"['""MCH""', '""MCV""', '""MCHC""', '""Hemoglobin""', '""Hematocrit""', '""White Blood Cells""', '""Red Blood Cells""', '""RDW""', '""Platelet Count""', '""RDW-SD""', '""Glucose""', '""Alkaline Phosphatase""', '""Creatinine""', '""Magnesium""', '""Bilirubin, Total""', '""Urea Nitrogen""', '""Estimated GFR (MDRD equation)""', '""Potassium""', '""Anion Gap""', '""Bicarbonate""', '""Calcium, Total""', '""Bilirubin, Direct""', '""Asparate Aminotransferase (AST)""', '""Lipase""', '""Troponin T""', '""Sodium""', '""Phosphate""', '""Bilirubin, Indirect""', '""Creatine Kinase, MB Isoenzyme""', '""Chloride""', '""Creatine Kinase (CK)""', '""Alanine Aminotransferase (ALT)""', '""Albumin""', '""Metamyelocytes""', '""Lymphocytes""', '""Atypical Lymphocytes""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""Absolute Basophil Count""', '""Neutrophils""', '""Bands""', '""Absolute Lymphocyte Count""', '""Absolute Monocyte Count""', '""Monocytes""', '""Basophils""', '""Eosinophils""', '""Absolute Neutrophil Count""', '""Ovalocytes""', '""Poikilocytosis""', '""Polychromasia""', '""Teardrop Cells""', '""Macrocytes""', '""Hypochromia""', '""Microcytes""', '""Anisocytosis""', '""Lactate""', '""Vancomycin""', '""I""', '""H""', '""L""', '""Specimen Type""', '""Intubated""', '""Base Excess""', '""Calculated Total CO2""', '""pH""', '""pO2""', '""pCO2""', '""Lactate Dehydrogenase (LD)""', '""Protein, Total""', '""INR(PT)""', '""PT""', '""PTT""', '""Red Top Hold""', '""EDTA Hold""', '""Hematocrit, Other Fluid""', '""Immunophenotyping""', '""Monos""', '""Polys""', '""Total Nucleated Cells, Other""', '""PEEP""', '""Ventilation Rate""', '""Hematocrit, Calculated""', '""Oxygen""', '""Potassium, Whole Blood""', '""Oxygen Saturation""', '""Platelet Smear""', '""Target Cells""', '""Temperature""', '""Free Calcium""', '""Anti-Neutrophil Cytoplasmic Antibody""', '""Immunoglobulin G""', '""ARCH-1""', '""HIV Screen""', '""Iron""', '""Haptoglobin""', '""Iron Binding Capacity, Total""', '""Transferrin""', '""Ferritin""', '""Vitamin B12""', '""Folate""', '""Rheumatoid Factor""', '""Triiodothyronine (T3)""', '""C-Reactive Protein""', '""Thyroxine (T4)""', '""Leukocytes""', '""Urine Mucous""', '""Blood""', '""Bilirubin""', '""WBC""', '""Protein""', '""Bacteria""', '""Urobilinogen""', '""Urine Color""', '""Transitional Epithelial Cells""', '""Yeast""', '""Urine Appearance""', '""Specific Gravity""', '""Nitrite""', '""Epithelial Cells""', '""Ketone""', '""RBC""', '""Tidal Volume""', '""Immature Granulocytes""', '""Thyroxine (T4), Free""', '""RBC, Pleural""', '""Macrophages""', '""Mesothelial Cells""', '""Total Protein, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Glucose, Pleural""', '""Total Nucleated Cells, Pleural""', '""Mesothelial cells""', '""Macrophage""', '""Other Cell""', '""Thyroid Stimulating Hormone""', '""Ventilator""', '""Assist/Control""', '""C3""', '""C4""', '""Anti-Nuclear Antibody""']"
Arrhythmias,"['""Lactate Dehydrogenase (LD)""', '""Alkaline Phosphatase""', '""Asparate Aminotransferase (AST)""', '""Estimated GFR (MDRD equation)""', '""Creatinine""', '""Chloride""', '""Bilirubin, Total""', '""I""', '""Magnesium""', '""Calcium, Total""', '""Sodium""', '""Potassium""', '""Phosphate""', '""Anion Gap""', '""H""', '""Glucose""', '""Bicarbonate""', '""Alanine Aminotransferase (ALT)""', '""L""', '""Urea Nitrogen""', '""Creatine Kinase, MB Isoenzyme""', '""Troponin T""', '""MCHC""', '""Hemoglobin""', '""MCH""', '""Hematocrit""', '""White Blood Cells""', '""Red Blood Cells""', '""Platelet Count""', '""MCV""', '""RDW-SD""', '""RDW""', '""PTT""', '""PT""', '""INR(PT)""', '""Vancomycin""', '""Creatine Kinase (CK)""', '""Albumin""', '""Red Top Hold""', '""Transferrin""', '""Folate""', '""Iron""', '""Vitamin B12""', '""Iron Binding Capacity, Total""', '""Ferritin""', '""Temperature""', '""Specimen Type""', '""Intubated""', '""Calculated Total CO2""', '""pCO2""', '""pO2""', '""Lactate""', '""Base Excess""', '""pH""', '""Inpatient Hematology/Oncology Smear""', '""Basophils""', '""Monocytes""', '""Lymphocytes""', '""Neutrophils""', '""Eosinophils""', '""Reticulocyte Count, Automated""', '""Haptoglobin""', '""Blood, Occult""', '""Voided Specimen""', '""Green Top Hold (plasma)""', '""EDTA Hold""', '""Uhold""', '""Length of Urine Collection""', '""Leukocytes""', '""Specific Gravity""', '""RBC""', '""WBC""', '""Blood""', '""Bilirubin""', '""Epithelial Cells""', '""Nitrite""', '""Yeast""', '""Hyaline Casts""', '""Bacteria""', '""Urine Appearance""', '""Ketone""', '""Urine Color""', '""Urobilinogen""', '""Protein""', '""Urine Mucous""', '""HCG, Urine, Qualitative""', '""Potassium, Whole Blood""', '""Calculated Bicarbonate, Whole Blood""', '""Sodium, Whole Blood""', '""Oxygen Saturation""', '""Chloride, Whole Blood""', '""Problem Specimen""', '""Blue Top Hold""', '""Immunophenotyping""', '""Free Calcium""', '""Amorphous Crystals""', '""Transitional Epithelial Cells""', '""PEEP""', '""O2 Flow""', '""Ventilation Rate""', '""Osmolality, Urine""', '""Phosphate, Urine""', '""Calcium, Urine""', '""Sodium, Urine""', '""Potassium, Urine""', '""Chloride, Urine""', '""Creatinine, Urine""', '""Magnesium, Urine""', '""Bicarbonate, Urine""', '""Assist/Control""', '""Tidal Volume""', '""Oxygen""', '""Urea Nitrogen, Urine""', '""Ventilator""', '""Hematocrit, Calculated""', '""Bilirubin, Indirect""', '""Bilirubin, Direct""', '""Amylase""', '""Lipase""', '""CK-MB Index""', '""NTproBNP""', '""Cortisol""', '""Triglycer""', '""RBC, Pleural""', '""Total Nucleated Cells, Pleural""', '""Glucose, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Albumin, Pleural""', '""Amylase, Pleural""', '""Total Protein, Pleural""', '""Mesothelial Cells""', '""Polys""', '""Macrophages""', '""Plasma Cells""', '""Other""', '""Monos""', '""Bilirubin, Total, Ascites""', '""Amylase, Ascites""', '""Bilirubin, Total, Body Fluid""', '""Ammonia""', '""Alveolar-arterial Gradient""', '""Required O2""', '""Absolute Monocyte Count""', '""Hypochromia""', '""Absolute Lymphocyte Count""', '""Anisocytosis""', '""Atypical Lymphocytes""', '""Absolute Basophil Count""', '""Microcytes""', '""Metamyelocytes""', '""Bands""', '""Platelet Smear""', '""Poikilocytosis""', '""Macrocytes""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""Absolute Neutrophil Count""', '""Polychromasia""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Virus Core Antibody""', '""Hepatitis B Surface Antibody""', '""Hepatitis B Surface Antigen""', '""C-Reactive Protein""', '""Anti-Neutrophil Cytoplasmic Antibody""', '""Anti-Nuclear Antibody""', '""C3""', '""C4""', '""% Hemoglobin A1c""', '""eAG""', '""Anticardiolipin Antibody IgG""', '""Anticardiolipin Antibody IgM""', '""Thyroid Stimulating Hormone""', '""Cholesterol, Total""', '""Triglycerides""', '""Cholesterol, LDL, Calculated""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, HDL""', '""Ovalocytes""', '""Fragmented Cells""', '""D-Dimer""', '""Protein, Total""', '""Globulin""', '""Lupus Anticoagulant""', '""Protein/Creatinine Ratio""', '""Total Protein, Urine""']"
Bone marrow transplantation,"['""MCV""', '""Monocytes""', '""Red Blood Cells""', '""MCH""', '""Lymphocytes""', '""Platelet Count""', '""White Blood Cells""', '""MCHC""', '""Basophils""', '""Neutrophils""', '""Hemoglobin""', '""RDW""', '""Eosinophils""', '""Hematocrit""', '""INR(PT)""', '""PT""', '""PTT""', '""Calcium, Total""', '""Phosphate""', '""Albumin""', '""Sodium""', '""Bilirubin, Total""', '""Glucose""', '""Creatinine""', '""Alanine Aminotransferase (ALT)""', '""Lactate Dehydrogenase (LD)""', '""Magnesium""', '""Urea Nitrogen""', '""Bicarbonate""', '""Potassium""', '""Chloride""', '""Alkaline Phosphatase""', '""Asparate Aminotransferase (AST)""', '""Anion Gap""', '""Hepatitis B Surface Antibody""', '""Anti-Smooth Muscle Antibody""', '""Anti-Nuclear Antibody""', '""Anti-Mitochondrial Antibody""', '""Ferritin""', '""Iron Binding Capacity, Total""', '""Iron""', '""Immunoglobulin G""', '""Transferrin""', '""Hepatitis C Virus Antibody""', '""Hepatitis A Virus Antibody""']"
Cardiac catheterization,"['""Urobilinogen""', '""Urine Appearance""', '""Bacteria""', '""Glucose""', '""WBC""', '""Urine Color""', '""RBC""', '""Ketone""', '""Epithelial Cells""', '""Urine Mucous""', '""Bilirubin""', '""Nitrite""', '""Protein""', '""Blood""', '""Leukocytes""', '""Specific Gravity""', '""Yeast""', '""pH""', '""Red Top Hold""', '""Anion Gap""', '""Acetaminophen""', '""Potassium""', '""Creatine Kinase, MB Isoenzyme""', '""Phosphate""', '""Sodium""', '""Magnesium""', '""Ethanol""', '""Barbiturate Screen""', '""Urea Nitrogen""', '""Salicylate""', '""Alkaline Phosphatase""', '""Creatine Kinase (CK)""', '""Alanine Aminotransferase (ALT)""', '""Lactate Dehydrogenase (LD)""', '""Creatinine""', '""Calcium, Total""', '""Asparate Aminotransferase (AST)""', '""Chloride""', '""Bilirubin, Total""', '""Benzodiazepine Screen""', '""Albumin""', '""Tricyclic Antidepressant Screen""', '""Bicarbonate""', '""Troponin T""', '""Cholesterol, Total""', '""Thyroid Stimulating Hormone""', '""Triglycerides""', '""Cholesterol, HDL""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, LDL, Calculated""', '""% Hemoglobin A1c""', '""eAG""', '""White Blood Cells""', '""Hematocrit""', '""Hemoglobin""', '""MCH""', '""MCV""', '""MCHC""', '""RDW""', '""Platelet Count""', '""Red Blood Cells""', '""PTT""', '""PT""', '""INR(PT)""', '""Estimated GFR (MDRD equation)""', '""Length of Urine Collection""', '""Opiate Screen, Urine""', '""Methadone, Urine""', '""Barbiturate Screen, Urine""', '""Amphetamine Screen, Urine""', '""Benzodiazepine Screen, Urine""', '""Cocaine, Urine""', '""Green Top Hold (plasma)""', '""Basophils""', '""Eosinophils""', '""Lymphocytes""', '""Neutrophils""', '""Monocytes""']"
Cardiac tamponade,"['""Length of Urine Collection""', '""Osmolality, Urine""', '""Sodium, Urine""', '""Osmolality, Measured""', '""Creatinine, Urine""', '""Urea Nitrogen, Urine""', '""Red Top Hold""', '""Bands""', '""Monos""', '""Lymphocytes""', '""Polys""', '""Total Nucleated Cells, Other""', '""Hematocrit, Other Fluid""', '""LD, Body Fluid""', '""Albumin, Body Fluid""', '""Glucose, Body Fluid""', '""Total Protein, Body Fluid""', '""WBC Clumps""', '""RBC""', '""Epithelial Cells""', '""Bacteria""', '""Yeast""', '""WBC""', '""Urine Mucous""', '""Hyaline Casts""', '""Potassium, Urine""', '""pH""', '""Nitrite""', '""Specific Gravity""', '""Urobilinogen""', '""Glucose""', '""Urine Appearance""', '""Leukocytes""', '""Blood""', '""Protein""', '""Ketone""', '""Bilirubin""', '""Urine Color""', '""EDTA Hold""', '""Green Top Hold (plasma)""', '""Bilirubin, Total""', '""Bicarbonate""', '""I""', '""H""', '""Alanine Aminotransferase (ALT)""', '""Sodium""', '""Alkaline Phosphatase""', '""L""', '""Magnesium""', '""Urea Nitrogen""', '""Creatinine""', '""Chloride""', '""Calcium, Total""', '""Phosphate""', '""Anion Gap""', '""Lactate Dehydrogenase (LD)""', '""Potassium""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""MCV""', '""Red Blood Cells""', '""MCH""', '""Platelet Count""', '""Hematocrit""', '""MCHC""', '""White Blood Cells""', '""Hemoglobin""', '""RDW-SD""', '""RDW""', '""PT""', '""PTT""', '""INR(PT)""', '""Asparate Aminotransferase (AST)""', '""Absolute Monocyte Count""', '""Absolute Neutrophil Count""', '""Basophils""', '""Absolute Eosinophil Count""', '""Atypical Lymphocytes""', '""Platelet Smear""', '""Eosinophils""', '""Absolute Lymphocyte Count""', '""Neutrophils""', '""Metamyelocytes""', '""Monocytes""', '""Absolute Basophil Count""', '""Myelocytes""', '""Anisocytosis""', '""Polychromasia""', '""Schistocytes""', '""Poikilocytosis""', '""Hypochromia""', '""Macrocytes""', '""Microcytes""', '""Ovalocytes""', '""Echinocytes""', '""Estimated GFR (MDRD equation)""', '""C-Reactive Protein""', '""Uric Acid""', '""Teardrop Cells""', '""Albumin""', '""NTproBNP""', '""Bite Cells""', '""Acanthocytes""', '""Creatine Kinase (CK)""', '""Potassium, Whole Blood""', '""Lactate""', '""Calculated Total CO2""', '""pO2""', '""pCO2""', '""Specimen Type""', '""Base Excess""', '""Nucleated Red Cells""', '""Chloride, Urine""', '""Anti-Nuclear Antibody""', '""Anti-Smooth Muscle Antibody""', '""Anti-Mitochondrial Antibody""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Surface Antibody""', '""HPE1""', '""Hepatitis B Virus Core Antibody""', '""HPE7""', '""HPE4""', '""HPE2""', '""HPE3""', '""Hepatitis B Surface Antigen""', '""Hepatitis A Virus Antibody""', '""Uhold""', '""Lipase""', '""Oxygen Saturation""', '""Thyroid Stimulating Hormone""', '""Vancomycin""', '""Intubated""', '""Protein, Total""', '""Immunophenotyping""', '""PEEP""', '""Ventilation Rate""', '""Hematocrit, Calculated""', '""Oxygen""', '""Target Cells""', '""Temperature""', '""Free Calcium""', '""Anti-Neutrophil Cytoplasmic Antibody""', '""Immunoglobulin G""', '""ARCH-1""', '""HIV Screen""', '""Iron""', '""Haptoglobin""', '""Iron Binding Capacity, Total""', '""Transferrin""', '""Ferritin""', '""Vitamin B12""', '""Folate""', '""Rheumatoid Factor""', '""Triiodothyronine (T3)""', '""Thyroxine (T4)""', '""Transitional Epithelial Cells""', '""Tidal Volume""', '""Immature Granulocytes""', '""Thyroxine (T4), Free""', '""RBC, Pleural""', '""Macrophages""', '""Mesothelial Cells""', '""Total Protein, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Glucose, Pleural""', '""Total Nucleated Cells, Pleural""', '""Mesothelial cells""', '""Macrophage""', '""Other Cell""', '""Ventilator""', '""Assist/Control""', '""C3""', '""C4""']"
Cerebral aneurysm,"['""PTT""', '""PT""', '""INR(PT)""', '""H""', '""Chloride""', '""Calcium, Total""', '""Creatinine""', '""Urea Nitrogen""', '""Bicarbonate""', '""Anion Gap""', '""Glucose""', '""L""', '""Estimated GFR (MDRD equation)""', '""Phosphate""', '""Magnesium""', '""I""', '""Sodium""', '""Potassium""', '""MCH""', '""Hematocrit""', '""Hemoglobin""', '""MCHC""', '""RDW-SD""', '""Red Blood Cells""', '""Platelet Count""', '""White Blood Cells""', '""RDW""', '""MCV""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""Creatine Kinase (CK)""', '""Intubated""', '""Specimen Type""', '""Calculated Total CO2""', '""Base Excess""', '""pCO2""', '""pH""', '""pO2""', '""Lactate""', '""Free Calcium""', '""Urine Appearance""', '""Bilirubin""', '""Blood""', '""Nitrite""', '""Protein""', '""Urine Color""', '""Leukocytes""', '""Urobilinogen""', '""Specific Gravity""', '""Ketone""', '""Green Top Hold (plasma)""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Creatinine, Urine""', '""Potassium, Urine""', '""Sodium, Urine""', '""Urea Nitrogen, Urine""', '""RBC""', '""Epithelial Cells""', '""Yeast""', '""Bacteria""', '""Urine Mucous""', '""WBC""', '""Sodium, Whole Blood""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""Oxygen Saturation""', '""Potassium, Whole Blood""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Alkaline Phosphatase""', '""Alanine Aminotransferase (ALT)""']"
Cervical spondylosis,"['""% Hemoglobin A1c""', '""eAG""', '""Red Top Hold""', '""Hemoglobin""', '""Eosinophils""', '""RDW""', '""White Blood Cells""', '""Red Blood Cells""', '""Platelet Count""', '""MCH""', '""MCHC""', '""Basophils""', '""Monocytes""', '""Lymphocytes""', '""Hematocrit""', '""Neutrophils""', '""MCV""', '""Calcium, Total""', '""Phosphate""', '""Sodium""', '""Potassium""', '""Bicarbonate""', '""Anion Gap""', '""Glucose""', '""Magnesium""', '""Urea Nitrogen""', '""Chloride""', '""Creatinine""', '""Cortisol""', '""Protein""', '""Bilirubin""', '""Yeast""', '""Nitrite""', '""WBC""', '""Ketone""', '""Blood""', '""pH""', '""Bacteria""', '""Urine Color""', '""Urobilinogen""', '""RBC""', '""Leukocytes""', '""Urine Appearance""', '""Specific Gravity""', '""Epithelial Cells""', '""Vitamin B12""', '""Thyroid Stimulating Hormone""', '""Calculated Total CO2""', '""Specimen Type""', '""pO2""', '""Base Excess""', '""pCO2""', '""Lactate""', '""Potassium, Whole Blood""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""Free Calcium""', '""Sodium, Whole Blood""', '""Estimated GFR (MDRD equation)""']"
Cholangitis,"['""Chloride""', '""Sodium""', '""Urea Nitrogen""', '""Phosphate""', '""Anion Gap""', '""Calcium, Total""', '""Magnesium""', '""Glucose""', '""Creatinine""', '""Potassium""', '""Bicarbonate""', '""Hemoglobin""', '""RDW""', '""MCHC""', '""Hematocrit""', '""Platelet Count""', '""MCV""', '""Red Blood Cells""', '""MCH""', '""White Blood Cells""', '""Platelet Smear""', '""Specimen Type""', '""Oxygen""', '""Tidal Volume""', '""Ventilator""', '""Temperature""', '""Ventilation Rate""', '""Intubated""', '""PEEP""', '""Required O2""', '""pCO2""', '""Base Excess""', '""pH""', '""pO2""', '""Alveolar-arterial Gradient""', '""Calculated Total CO2""', '""PT""', '""INR(PT)""', '""PTT""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Alanine Aminotransferase (ALT)""', '""Lactate""', '""Free Calcium""', '""Oxygen Saturation""', '""Vancomycin""', '""Uric Acid""', '""Fibrinogen, Functional""', '""Lactate Dehydrogenase (LD)""', '""Albumin""', '""Red Top Hold""', '""Inpatient Hematology/Oncology Smear""', '""Blue Top Hold""', '""Creatine Kinase (CK)""', '""Protein""', '""Specific Gravity""', '""Urine Appearance""', '""WBC""', '""Urobilinogen""', '""Bilirubin""', '""Leukocytes""', '""Urine Color""', '""Bacteria""', '""Urine Mucous""', '""Epithelial Cells""', '""Blood""', '""RBC""', '""Nitrite""', '""Granular Casts""', '""Ketone""', '""Yeast""', '""Estimated GFR (MDRD equation)""', '""Macrocytes""', '""Polychromasia""', '""Eosinophils""', '""Myelocytes""', '""Bands""', '""Neutrophils""', '""Atypical Lymphocytes""', '""Anisocytosis""', '""Poikilocytosis""', '""Microcytes""', '""Lymphocytes""', '""Basophils""', '""Hypochromia""', '""Monocytes""', '""Metamyelocytes""', '""Haptoglobin""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Assist/Control""', '""EDTA Hold""']"
Cholecystitis,"['""PT""', '""PTT""', '""INR(PT)""', '""MCHC""', '""Red Blood Cells""', '""Hemoglobin""', '""RDW""', '""MCV""', '""Platelet Count""', '""Hematocrit""', '""White Blood Cells""', '""MCH""', '""Calcium, Total""', '""Creatinine""', '""Anion Gap""', '""Bilirubin, Total""', '""Phosphate""', '""Urea Nitrogen""', '""Chloride""', '""Magnesium""', '""Sodium""', '""Alanine Aminotransferase (ALT)""', '""Glucose""', '""Alkaline Phosphatase""', '""Bicarbonate""', '""Asparate Aminotransferase (AST)""', '""Potassium""', '""Estimated GFR (MDRD equation)""', '""Albumin""', '""RDW-SD""', '""Specimen Type""', '""Intubated""', '""pCO2""', '""Base Excess""', '""pH""', '""pO2""', '""Calculated Total CO2""', '""Free Calcium""', '""Potassium, Whole Blood""', '""Lactate""', '""Chloride, Whole Blood""', '""Hematocrit, Calculated""', '""Sodium, Whole Blood""', '""Oxygen Saturation""']"
Coma,"['""PT""', '""INR(PT)""', '""PTT""', '""Potassium""', '""Glucose""', '""White Blood Cells""', '""Asparate Aminotransferase (AST)""', '""Creatinine""', '""Calcium, Total""', '""MCH""', '""MCV""', '""Phosphate""', '""RDW""', '""Hemoglobin""', '""Chloride""', '""Bicarbonate""', '""Magnesium""', '""Albumin""', '""Anion Gap""', '""Lactate Dehydrogenase (LD)""', '""Alkaline Phosphatase""', '""Urea Nitrogen""', '""Hematocrit""', '""MCHC""', '""Bilirubin, Total""', '""Red Blood Cells""', '""Alanine Aminotransferase (ALT)""', '""Sodium""', '""Platelet Count""', '""Platelet Smear""']"
Coma,"['""MCHC""', '""RDW""', '""Hematocrit""', '""Red Blood Cells""', '""Platelet Count""', '""MCV""', '""White Blood Cells""', '""MCH""', '""RDW-SD""', '""Hemoglobin""', '""PT""', '""INR(PT)""', '""PTT""', '""Glucose""', '""Anion Gap""', '""Creatinine""', '""L""', '""Phosphate""', '""Bilirubin, Total""', '""Alanine Aminotransferase (ALT)""', '""Potassium""', '""Chloride""', '""I""', '""Urea Nitrogen""', '""Calcium, Total""', '""Bicarbonate""', '""Sodium""', '""Alkaline Phosphatase""', '""H""', '""Asparate Aminotransferase (AST)""', '""Magnesium""', '""Specimen Type""', '""Calculated Total CO2""', '""pO2""', '""Base Excess""', '""pCO2""', '""pH""', '""Lactate""', '""Free Calcium""', '""Albumin""', '""Phenytoin""', '""Nitrite""', '""Urobilinogen""', '""Urine Color""', '""Leukocytes""', '""Blood""', '""Protein""', '""Bilirubin""', '""Specific Gravity""', '""Ketone""', '""Urine Appearance""', '""Vancomycin""', '""Osmolality, Measured""', '""Red Top Hold""', '""Fibrinogen, Functional""', '""Estimated GFR (MDRD equation)""', '""Influenza B by PCR""', '""Influenza A by PCR""', '""Potassium, Whole Blood""', '""Bacteria""', '""WBC""', '""RBC""', '""Epithelial Cells""', '""Yeast""']"
